Northing,Easting,Depth,Moment Magnitude
9756,15662,8166,0.914
9733,15607,8226,0.280
10957,15135,8886,-2.000
10949,15154,8868,-2.030
10981,15171,8944,-1.416
10972,15152,8861,-2.681
10970,15138,8861,-2.080
10938,15148,8894,-1.295
10964,15164,8863,-2.743
10956,15168,8900,-2.562
10983,15169,8841,-0.867
11006,15172,8854,-0.826
10974,15135,8874,-1.983
10947,15145,8899,-2.394
10932,15171,8872,-2.077
10952,15149,8882,-1.973
9908,14448,8406,-0.945
9751,15594,8204,0.477
9736,15584,8212,0.081
9785,15578,8195,0.236
9754,15586,8203,0.192
9731,15581,8205,-0.018
9715,15600,8191,-0.001
9721,15596,8118,0.099
9462,15382,8080,0.820
9475,15380,8069,0.566
9459,15396,8080,0.168
9478,15380,8050,0.127
9457,15376,8069,-0.127
9457,15380,8069,0.269
9476,15416,8081,-2.205
9475,15406,8102,-2.244
9470,15419,8085,-2.297
10911,15169,8899,-2.233
9472,15431,8080,-2.468
9529,15098,8191,-1.696
9556,15098,8184,-1.948
9974,15707,8185,-1.636
9927,15668,8237,-1.084
9566,15135,8234,-2.464
9833,15024,8182,-2.595
9775,14956,8175,-2.273
10268,15766,8499,-1.959
9756,14992,8224,-2.186
9781,14983,8176,-2.592
10975,15152,8898,-1.737
10984,15157,8883,-2.195
10930,15171,8862,-1.682
10970,15147,8883,-2.570
10932,15197,8875,-1.834
10922,15169,8889,-1.270
10940,15160,8884,-2.155
10041,14968,8277,-1.603
9503,15451,8088,-2.527
10956,15153,8881,-2.074
9667,15090,8188,-2.867
9473,15421,8084,-2.427
9734,15146,7990,-2.013
9750,15147,7985,-2.737
9753,15156,8019,-2.502
9741,15152,7995,-2.450
9465,15440,8051,-1.780
9466,15439,8074,-2.712
10219,15331,8336,-2.249
9945,15719,8123,-1.341
9978,15737,8089,-1.471
10148,15494,8306,-2.294
9929,15460,8176,-2.591
10015,15705,8191,-1.249
9970,15706,8183,-1.121
9738,15575,8199,0.318
9750,15579,8217,0.236
9747,15572,8184,0.208
9756,15582,8207,0.254
9745,15581,8195,-0.148
9748,15581,8195,0.105
9738,15587,8177,-0.014
9768,15581,8193,-0.404
9758,15580,8171,0.293
9779,15575,8207,0.098
9769,15597,8189,0.240
9826,15527,8178,-1.866
9259,14940,8059,-2.221
9268,14974,8075,-2.378
9165,14927,8055,-2.427
10127,14540,8472,-2.311
10094,15536,8352,-1.426
9194,14929,8085,-1.174
10110,15528,8358,-1.061
10099,15510,8330,-1.022
10142,15522,8321,-2.050
10120,15528,8351,-1.125
10126,15444,8291,-1.005
9272,14937,8070,-1.734
10989,15658,9062,-2.023
10142,15493,8282,-1.676
10629,15150,8790,-2.547
9492,15411,8109,0.111
9475,15403,8080,0.181
9499,15398,8083,0.037
9460,15392,8071,0.034
9487,15389,8072,0.056
9436,15338,8112,-0.229
9476,15388,8078,-0.025
9467,15396,8075,0.103
9459,15403,8077,0.330
9434,15398,8083,0.073
9417,15366,8088,0.232
9486,15398,8084,-0.101
9457,15361,8086,-2.331
9486,15418,8095,-2.278
9494,15418,8086,-2.511
9489,15448,8081,-2.358
9495,15449,8081,-2.604
9494,15447,8084,-2.364
9486,15442,8084,-2.250
9755,14716,8291,-1.777
9759,14701,8310,-1.814
9472,15411,8078,-2.340
9499,15436,8087,-2.359
9942,15740,8084,-1.434
10106,15117,8291,-1.900
9978,14590,8486,-1.613
10123,15502,8290,-1.054
10224,15662,8211,-1.085
10122,15535,8323,-1.181
10106,15521,8255,-1.067
10411,15144,8322,-2.460
10404,15145,8327,-1.585
10401,15167,8337,-2.709
9959,15729,8191,-1.810
9717,14686,8291,-2.091
9491,15450,8071,-2.247
10113,15543,8332,-1.563
9479,15437,8070,-1.990
9926,15553,8211,-2.078
10048,15852,8264,-1.463
10192,15479,8335,-2.385
9739,15643,8184,-2.308
10766,15852,8717,-1.846
9474,15436,8054,-2.247
9724,15279,7988,-2.213
9981,15133,8380,-2.321
10283,15388,8472,-2.711
10294,15474,8460,-2.851
10060,15794,8335,-1.397
9261,14943,8055,-1.970
9968,15739,8199,-1.525
9931,15122,8173,-1.814
10287,15716,8339,-2.288
10045,15601,8239,-1.928
10054,15804,8262,-1.820
9271,14952,8039,-2.309
9992,15738,8189,-1.833
10114,15529,8326,-1.690
10124,15511,8312,-1.673
9473,15417,8085,-2.589
9420,14991,8209,-2.088
9992,15728,8182,-1.506
10263,15643,8355,-1.945
10621,15127,8792,-2.742
10211,15597,8330,-1.423
9966,15735,8122,-2.146
9978,15728,8087,-1.851
10538,15274,8407,-2.193
9774,15341,8265,-1.968
10407,15146,8339,-2.524
9952,15755,8081,-1.567
9262,15785,8080,-1.611
10515,15592,8453,-2.219
10001,15323,8347,-1.954
9502,14673,8113,-1.652
9979,15029,8336,-0.080
9967,15019,8357,-0.224
9980,15035,8320,-0.329
9971,15034,8346,-0.306
9965,15041,8347,-0.569
9951,15041,8369,-0.293
9973,15032,8337,-0.228
10130,15410,8311,-1.170
10048,15535,8409,-1.245
10100,15520,8286,-1.457
10117,15542,8358,-1.462
10114,15526,8335,-1.655
9997,15328,8334,-2.123
9992,15307,8331,-1.864
10005,15340,8306,-2.650
9986,15307,8345,-1.975
9982,15277,8340,-1.986
10024,15334,8296,-2.730
10017,15324,8291,-2.260
10542,15282,8432,-2.831
9446,14958,8172,-0.632
9408,14915,8171,-1.119
9910,15898,8308,-1.246
10064,15234,8368,-2.520
10523,15149,8842,-2.573
9916,15044,8339,0.461
9958,15034,8331,0.211
10014,15343,8340,-2.647
9961,15727,8188,-1.650
10051,15814,8280,-1.933
10949,15476,8986,-2.219
9426,15225,8103,-1.391
10524,15318,8431,-2.055
9909,15730,8171,-2.132
10096,15525,8213,-1.060
9647,15124,7983,-2.484
9749,15567,8225,0.191
9739,15544,8232,-0.160
9801,15605,8221,0.963
9764,15573,8196,-0.152
10097,15046,8350,-1.998
10929,15476,9069,-2.162
10929,15476,9069,-2.162
10829,15435,9015,-2.381
10900,15445,8988,-2.056
9413,15294,8088,-1.450
